repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version
cuijinye/so106_test,cuijinye,so100,2,1016,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
Creative-Intelligence/aloha_test,Creative-Intelligence,aloha,2,1320,30,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""SINGLE_TASK""}",False,False,"action,observation.state,observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
apockill/myarm-4-put-cube-in-basket-highres-two-camera,apockill,myarm,101,22893,20,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Look pick up a cube and then place it into the black bin.""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_single_blue,underctrl,koch,80,31478,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""Pick the Lego block and drop it in the box on the right.""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
astroyat/eval_cube,astroyat,so100,51,20888,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""pick""}",False,True,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
apockill/myarm-5-put-cube-to-the-side,apockill,myarm,52,13157,20,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Look pick up a cube and then place it into the black bin.""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ccop/aloha_stationary_replay_test_v2,ccop,unknown,1,800,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Testing Aloha replays.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
apockill/myarm-6-put-cube-to-the-side-radians,apockill,myarm,1,599,20,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Look pick up a cube and then place it into the black bin.""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
Creative-Intelligence/cup2,Creative-Intelligence,aloha,3,2679,30,"observation.images.cam_high,observation.images.cam_right_wrist",2,"observation.images.cam_high,observation.images.cam_right_wrist",True,1,"{""0"": ""TASK""}",False,False,"action,observation.state,observation.images.cam_high,observation.images.cam_right_wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test,DUDU9527,so100,5,1864,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
pdd46465/so100_bi_test1,pdd46465,so100,2,744,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""panf""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/eval_act_so100_test,DUDU9527,so100,10,9763,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,True,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
apockill/myarm-6-put-cube-to-the-side-30fps-lowres,apockill,myarm,253,82078,30,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Look pick up a cube and then place it into the black bin.""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_double_weird,underctrl,unknown,80,36475,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""handcamera_double-block_weird-shape_pick-up_8""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
pdd46465/so100_bi_test2,pdd46465,so100,2,651,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""panf56465""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_double-block_2-colors_pick-up_80,underctrl,unknown,80,40026,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""handcamera_double-block_2-colors_pick-up_80""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
francescocrivelli/so100_test,francescocrivelli,so100,56,38831,30,"observation.images.endeffector,observation.images.workspace",2,"observation.images.endeffector,observation.images.workspace",True,1,"{""0"": ""Pick and place object from position A to bin B""}",False,False,"action,observation.state,observation.images.endeffector,observation.images.workspace,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
apockill/myarm-7-put-cube-to-the-side-wrist-bent-40fps-lowres,apockill,myarm,1,326,30,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Look pick up a cube and then place it into the black bin.""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ccop/aloha_stationary_replay_test_v3,ccop,aloha-stationary,1,800,50,"observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist",3,,False,1,"{""0"": ""move_cube""}",False,False,"action,observations.effort,observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist,observations.qpos,observations.qvel,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ZCM5115/so100_test,ZCM5115,so100,5,4042,30,"observation.images.laptop,observation.images.hikvision",2,"observation.images.laptop,observation.images.hikvision",True,1,"{""0"": ""tutorial""}",False,False,"action,observation.state,observation.images.laptop,observation.images.hikvision,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test1,DUDU9527,so100,5,2003,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_double-block_blue-color_pick-up_80,underctrl,unknown,80,33117,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""handcamera_double-block_blue-color_pick-up_80""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
shreyasgite/eval_act_so100_test,shreyasgite,so100,1,980,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""evaluation of act policy on so100 robot""}",False,True,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ZCM5115/so100_test1,ZCM5115,so100,5,3802,30,"observation.images.laptop,observation.images.hikvision",2,"observation.images.laptop,observation.images.hikvision",True,1,"{""0"": ""tutorial""}",False,False,"action,observation.state,observation.images.laptop,observation.images.hikvision,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
pdd46465/so100_bi_test3,pdd46465,so100,2,666,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""panf56465""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
cmcgartoll/cube_color_organizer,cmcgartoll,koch,151,68763,30,"observation.images.claw,observation.images.front,observation.images.phone",3,"observation.images.claw,observation.images.front,observation.images.phone",True,3,"{""0"": ""Organize blue cube"", ""1"": ""Organize red cube"", ""2"": ""Organize yellow cube""}",False,False,"action,observation.state,observation.images.claw,observation.images.front,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
jackvial/koch_with_rewards_3,jackvial,koch,2,64,30,observation.images.main,1,observation.images.main,True,1,"{""0"": ""test_description""}",False,False,"next.reward,action,observation.state,observation.images.main,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
jackvial/koch_with_rewards_4,jackvial,koch,10,5985,30,observation.images.main,1,observation.images.main,True,1,"{""0"": ""test_description""}",False,False,"next.reward,action,observation.state,observation.images.main,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ZCM5115/so100_test2,ZCM5115,so100,5,1346,30,"observation.images.laptop,observation.images.hikvision",2,"observation.images.laptop,observation.images.hikvision",True,1,"{""0"": ""tutorial""}",False,False,"action,observation.state,observation.images.laptop,observation.images.hikvision,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test3,DUDU9527,so100,10,4272,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
amxxd/so100_test,amxxd,so100,2,1058,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""so100_task""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ZCM5115/eval_act_so100_test,ZCM5115,so100,5,1184,30,"observation.images.laptop,observation.images.hikvision",2,"observation.images.laptop,observation.images.hikvision",True,1,"{""0"": ""pick_place_lego""}",False,True,"action,observation.state,observation.images.laptop,observation.images.hikvision,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_single_orange,underctrl,unknown,80,20566,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""handcamera_single-block_orange-color_pick-up_80""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
amxxd/so100_test1,amxxd,so100,2,1088,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""so100_task""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
underctrl/handcamera_double-block_orange-color,underctrl,unknown,80,41198,30,"observation.images.android,observation.images.webcam,observation.images.handcam",3,"observation.images.android,observation.images.webcam,observation.images.handcam",True,1,"{""0"": ""handcamera_double-block_orange-color_pick-up_80""}",False,False,"observation.state,observation.images.android,observation.images.webcam,observation.images.handcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
cmcgartoll/eval_cube_color_organizer,cmcgartoll,koch,8,11332,30,"observation.images.claw,observation.images.front,observation.images.phone",3,"observation.images.claw,observation.images.front,observation.images.phone",True,2,"{""0"": ""Organize blue cube"", ""1"": ""Organize all cubes""}",False,True,"action,observation.state,observation.images.claw,observation.images.front,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test4,DUDU9527,so100,2,1014,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ZCM5115/so100_1210,ZCM5115,so100,50,13295,30,"observation.images.laptop,observation.images.hikvision",2,"observation.images.laptop,observation.images.hikvision",True,1,"{""0"": ""tutorial""}",False,False,"action,observation.state,observation.images.laptop,observation.images.hikvision,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test6,DUDU9527,so100,10,3200,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ASMOCii/22,ASMOCii,so100,1,715,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""just_a_test""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
francescocrivelli/orange_feeding,francescocrivelli,so100,26,17151,30,"observation.images.endeffector,observation.images.workspace",2,"observation.images.endeffector,observation.images.workspace",True,1,"{""0"": ""pick up orange piece and feed to person""}",False,False,"action,observation.state,observation.images.endeffector,observation.images.workspace,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
AdleBens/clone_han5i5j1986_eval_koch_lego_2024-10-18-01,AdleBens,unknown,10,3438,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Catch a lego and put it in a bowl""}",False,True,"observation.state,action,observation.images.laptop,observation.images.phone,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
francescocrivelli/test_dataset,francescocrivelli,so100,4,2681,30,"observation.images.endeffector,observation.images.workspace",2,"observation.images.endeffector,observation.images.workspace",True,2,"{""0"": ""test recording episodes"", ""1"": ""test recording episodes in a different position""}",False,False,"action,observation.state,observation.images.endeffector,observation.images.workspace,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
francescocrivelli/carrot_eating,francescocrivelli,so100,61,38435,30,"observation.images.endeffector,observation.images.workspace",2,"observation.images.endeffector,observation.images.workspace",True,1,"{""0"": ""pick up carrot and bring to mouth""}",False,False,"action,observation.state,observation.images.endeffector,observation.images.workspace,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test7,DUDU9527,so100,20,11117,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
iantc104/rpl_peg_in_hole,iantc104,,50,12500,50,"observation.images.scene,observation.images.wrist",2,"observation.images.scene,observation.images.wrist",True,1,"{""0"": ""peg in hole""}",False,False,"action,observation.state,observation.images.scene,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
T-K-233/koch_k1_pour_shot,T-K-233,koch_k1,80,44363,20,"observation.images.gripper,observation.images.top,observation.images.side",3,"observation.images.gripper,observation.images.top,observation.images.side",True,1,"{""0"": ""Koch K1 Pour Shot""}",False,False,"action,observation.state,observation.images.gripper,observation.images.top,observation.images.side,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
gmm0820/so100_test,gmm0820,so100,2,2300,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
gmm0820/so100_test3,gmm0820,so100,10,7481,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
francescocrivelli/test2,francescocrivelli,so100,2,418,30,"observation.images.endeffector,observation.images.workspace",2,"observation.images.endeffector,observation.images.workspace",True,1,"{""0"": ""test""}",False,False,"action,observation.state,observation.images.endeffector,observation.images.workspace,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
Lugenbott/koch_test,Lugenbott,unknown,20,3377,30,"observation.images.Camera0,observation.images.Camera2",2,"observation.images.Camera0,observation.images.Camera2",True,1,"{""0"": ""Pick and place""}",False,False,"observation.state,action,observation.images.Camera0,observation.images.Camera2,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
gmm0820/so100_test4,gmm0820,so100,10,5857,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
astroyat/eval_cube2,astroyat,so100,17,9769,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""pick""}",False,True,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test8,DUDU9527,so100,2,1475,30,"observation.images.laptop,observation.images.phone,observation.images.phone1",3,"observation.images.laptop,observation.images.phone,observation.images.phone1",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.phone1,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
DUDU9527/so100_test10,DUDU9527,so100,10,4460,30,"observation.images.laptop,observation.images.phone,observation.images.phone1",3,"observation.images.laptop,observation.images.phone,observation.images.phone1",True,1,"{""0"": ""pick-and-place1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.phone1,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
francescocrivelli/demo_recording1,francescocrivelli,so100,1,333,30,,0,,False,1,"{""0"": ""demo recording""}",False,False,"action,observation.state,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
zhouhengxu/so100_bi_test2,zhouhengxu,so100,2,892,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""panf56465""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
gmm0820/so100_test5,gmm0820,so100,50,26120,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick-and-place""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
Xiajiawei/so100_test,Xiajiawei,so100,2,1790,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""test1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
lilkm/moss-khalil,lilkm,koch,2,2380,30,"observation.images.camera_front,observation.images.camera_top",2,"observation.images.camera_front,observation.images.camera_top",True,1,"{""0"": ""test_sim""}",False,False,"next.reward,action,observation.state,observation.images.camera_front,observation.images.camera_top,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/so100_bimanual_test_3,0x00raghu,so100_bimanual,2,2386,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_sorting""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_color_sort_1,0x00raghu,so100_bimanual,10,5980,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_sorting_1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_color_sort_2_,0x00raghu,so100_bimanual,10,5980,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_sorting_1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_color_sort_3_,0x00raghu,so100_bimanual,10,5952,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_sorting_1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_color_sort_4,0x00raghu,so100_bimanual,10,5967,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_sorting_1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
Beegbrain/stack_2_cubes,Beegbrain,moss,15,7961,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""1""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
HuggingHand4CB/so100_test,HuggingHand4CB,so100,2,1369,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""c1214""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ccop/aloha-hd5-conversion-test,ccop,aloha-stationary,51,40800,50,"observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist",3,"observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist",True,1,"{""0"": ""Aloha HD5 dataset - Bottle Pick and Place""}",False,False,"action,observations.effort,observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist,observations.qpos,observations.qvel,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
jiroh2000/koch_test_10,jiroh2000,koch,2,1788,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""1""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
CatWithIcecream/so100_test,CatWithIcecream,so100,2,1196,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""Pick up the white cube and place it into the bin.""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_red,0x00raghu,so100,20,11956,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_red""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_red_2,0x00raghu,so100,20,11941,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_red""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_red_3__,0x00raghu,so100,24,14331,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_red""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_blue,0x00raghu,so100,20,11947,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_blue""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_blue_2,0x00raghu,so100,20,11944,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_blue""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
jclinton1/wedgit_stack,jclinton1,unknown,50,29612,30,observation.images.webcam,1,observation.images.webcam,True,1,"{""0"": ""stack wedgit blocks to form pyramid""}",False,False,"observation.state,observation.images.webcam,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
CatWithIcecream/eval_act_so100_test,CatWithIcecream,so100,10,11941,30,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""Pick up the white cube and place it into the bin.""}",False,True,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/eval_all_red1,0x00raghu,so100,10,8759,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""all_red""}",False,True,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_to_hand_1,0x00raghu,so100,20,11897,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_to_hand""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
0x00raghu/toffee_to_hand_2,0x00raghu,so100,20,11950,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""toffee_to_hand""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ccop/test-again,ccop,aloha-stationary,51,51,50,"observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist",3,,False,1,"{""0"": ""Aloha HD5 dataset - Bottle Pick and Place""}",False,False,"action,observations.effort,observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist,observations.qpos,observations.qvel,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
CatWithIcecream/eval_act_so100_test_20241216,CatWithIcecream,so100,3,1778,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Pick up the white cube and place it into the bin.""}",False,True,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
seeingrain/pick_place_lego,seeingrain,koch,50,23027,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick_blue_lego ""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
JohannesSaut/koch_training_6,JohannesSaut,unknown,100,31648,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Place the blue cube in the bin""}",False,False,"observation.state,observation.images.laptop,observation.images.phone,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
XXXcat/so100_test,XXXcat,so100,8,2815,30,observation.images.phone,1,observation.images.phone,True,1,"{""0"": ""move""}",False,False,"action,observation.state,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
girardijp/so100_test,girardijp,so100,2,1487,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""TEST7""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ccop/demo-maltesers,ccop,aloha-stationary,90,32336,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,,False,1,"{""0"": ""Aloha HD5 dataset - Demo Maltesers""}",False,False,"action,observation.effort,observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
